File,obj,position_x,position_y,position_z,scale_x,scale_y,scale_z
fedora01,fedora,1.365,-0.341608,1.1206400394439697,0.1302,0.1302,0.1452
elvs_slouchy_beanie1,elvs_slouchy_beanie1,1.3700000047683716,-0.3416079878807068,1.060640096664428,0.12020000070333481,0.11020000278949738,0.1301999986171722
warrior_helmet,warrior_helmet,1.3600000143051147,-0.3416079878807068,1.0706400871276855,0.13019999861717224,0.13019999861717224,0.14020000398159027
elvs_unisex_chef_hat_1,elvs_unisex_chef_hat_1,1.3700000047683716,-0.3516079783439636,1.1506400108337402,0.14020000398159027,0.13019999861717224,0.10020000487565994
m1951_72,m1951_72,1.3600000143051147,-0.3416079878807068,1.090640068054199,1,1,1
sherpa_hat,sherpa_hat,1.38200000047683716,-0.3416079878807068,1.110640048980713,0.12020000070333481,0.115020000070333481,0.11020000278949738
newsboy_cap,newsboy_cap,1.36200000047683716,-0.3416079878807068,1.140640048980713,0.12020000070333481,0.115020000070333481,0.16020000278949738
maga_hat,maga_hat,1.36500000047683716,-0.3416079878807068,1.080640048980713,0.11020000070333481,0.12020000070333481,0.12020000278949738
bikehelmet,bikehelmet,1.34500000047683716,-0.3416079878807068,1.050640048980713,0.13020000070333481,0.11520000070333481,0.13020000278949738
Monks_Hood_Down,Monks_Hood_Down,1.38,-0.3416079878807068,1.050640048980713,0.10020000070333481,0.1210520000070333481,0.12020000278949738
