object,frame,posx,posy,posz,scalex,scaley,scalez,roll,pitch,yaw
Left Eye, 1, 0.2407483607530594, -0.8170631527900696, 0.318055659532547, 1.0, 1.0, 0.9999999403953552, 0.00880709383636713, -0.0, 0.08791004866361618
Left Eye, 2, 0.2407483607530594, -0.8170631527900696, 0.318055659532547, 1.0, 0.9999999403953552, 1.0, 0.00904298759996891, -0.0, 0.08979717642068863
Left Eye, 3, 0.2407483607530594, -0.8170631527900696, 0.318055659532547, 0.9999999403953552, 1.0, 1.0, 0.009426141157746315, -0.0, 0.09286241978406906
Left Eye, 4, 0.2407483607530594, -0.8170631527900696, 0.318055659532547, 1.0, 1.0, 1.0, 0.009948376566171646, -0.0, 0.09704030305147171
Left Eye, 5, 0.2407483607530594, -0.8170631527900696, 0.318055659532547, 1.0, 1.0, 1.0, 0.010601513087749481, -0.0, 0.1022653803229332
Left Eye, 6, 0.2407483607530594, -0.8170631527900696, 0.318055659532547, 1.0, 1.0, 1.0, 0.011377365328371525, -0.0, 0.10847219824790955
Left Eye, 7, 0.2407483607530594, -0.8170631527900696, 0.318055659532547, 1.0, 1.0, 1.0, 0.012267755344510078, -0.0, 0.11559534817934036
Left Eye, 8, 0.2407483607530594, -0.8170631527900696, 0.318055659532547, 0.9999999403953552, 0.9999999403953552, 1.0, 0.013264504261314869, -0.0, 0.1235693022608757
Left Eye, 9, 0.2407483607530594, -0.8170631527900696, 0.318055659532547, 0.9999999403953552, 1.0, 0.9999999403953552, 0.014359422028064728, -0.0, 0.13232868909835815
Left Eye, 10, 0.2407483607530594, -0.8170631527900696, 0.318055659532547, 1.0, 0.9999999403953552, 0.9999999403953552, 0.015544339083135128, -0.0, 0.14180798828601837
Left Eye, 11, 0.2407483607530594, -0.8170631527900696, 0.318055659532547, 1.0, 1.0, 0.9999999403953552, 0.01681106723845005, -0.0, 0.15194182097911835
Left Eye, 12, 0.2407483607530594, -0.8170631527900696, 0.318055659532547, 1.0, 1.0, 0.9999999403953552, 0.01815142296254635, -0.0, 0.16266466677188873
Left Eye, 13, 0.2407483607530594, -0.8170631527900696, 0.318055659532547, 1.0, 1.0, 1.0, 0.019557232037186623, -0.0, 0.17391113936901093
Left Eye, 14, 0.2407483607530594, -0.8170631527900696, 0.318055659532547, 0.9999999403953552, 1.0, 1.0, 0.02102030999958515, -0.0, 0.18561577796936035
Left Eye, 15, 0.2407483607530594, -0.8170631527900696, 0.318055659532547, 1.0, 0.9999999403953552, 1.0, 0.022532474249601364, -0.0, 0.19771307706832886
Left Eye, 16, 0.2407483607530594, -0.8170631527900696, 0.318055659532547, 1.0, 0.9999999403953552, 1.0, 0.024085547775030136, -0.0, 0.21013765037059784
Left Eye, 17, 0.2407483607530594, -0.8170631527900696, 0.318055659532547, 1.0, 1.0, 1.0, 0.0256713405251503, -0.0, 0.22282399237155914
Left Eye, 18, 0.2407483607530594, -0.8170631527900696, 0.318055659532547, 1.0, 1.0, 1.0, 0.02728167735040188, -0.0, 0.23570674657821655
Left Eye, 19, 0.2407483607530594, -0.8170631527900696, 0.318055659532547, 0.9999999403953552, 1.0, 1.0, 0.028908375650644302, -0.0, 0.24872033298015594
Left Eye, 20, 0.2407483607530594, -0.8170631527900696, 0.318055659532547, 0.9999999403953552, 1.0, 1.0, 0.030543260276317596, -0.0, 0.2617993950843811
Left Eye, 21, 0.2407483607530594, -0.8170631527900696, 0.318055659532547, 1.0, 1.0, 1.0, 0.032178137451410294, -0.0, 0.27487847208976746
Left Eye, 22, 0.2407483607530594, -0.8170631527900696, 0.318055659532547, 1.0, 1.0, 1.0, 0.033804845064878464, -0.0, 0.28789201378822327
Left Eye, 23, 0.2407483607530594, -0.8170631527900696, 0.318055659532547, 0.9999999403953552, 0.9999999403953552, 1.0, 0.03541519120335579, -0.0, 0.30077481269836426
Left Eye, 24, 0.2407483607530594, -0.8170631527900696, 0.318055659532547, 1.0, 0.9999999403953552, 1.0, 0.03700098395347595, -0.0, 0.3134611248970032
Left Eye, 25, 0.2407483607530594, -0.8170631527900696, 0.318055659532547, 1.0, 1.0, 1.0, 0.03855404630303383, -0.0, 0.3258856534957886
Left Eye, 26, 0.2407483607530594, -0.8170631527900696, 0.318055659532547, 1.0, 1.0, 1.0, 0.04006621614098549, -0.0, 0.3379829525947571
Left Eye, 27, 0.2407483607530594, -0.8170631527900696, 0.318055659532547, 0.9999999403953552, 1.0, 0.9999999403953552, 0.04152929037809372, -0.0, 0.3496875762939453
Left Eye, 28, 0.2407483607530594, -0.8170631527900696, 0.318055659532547, 1.0, 1.0, 1.0, 0.04293510317802429, -0.0, 0.3609340488910675
Left Eye, 29, 0.2407483607530594, -0.8170631527900696, 0.318055659532547, 0.9999999403953552, 0.9999999403953552, 0.9999999403953552, 0.04427545890212059, -0.0, 0.3716569244861603
Left Eye, 30, 0.2407483607530594, -0.8170631527900696, 0.318055659532547, 1.0, 0.9999999403953552, 0.9999999403953552, 0.04554218426346779, -0.0, 0.38179075717926025
